timestamp, utilization.gpu [%], pstate, temperature.gpu, clocks.current.sm [MHz], power.draw [W]
2023/07/13 18:15:33.508, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.517, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.523, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.533, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.538, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.548, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.554, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.564, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.569, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.579, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.585, 0, P0, 34, 745, 65.88
2023/07/13 18:15:33.594, 0, P0, 34, 745, 65.88
2023/07/13 18:15:33.600, 0, P0, 34, 745, 75.19
2023/07/13 18:15:33.609, 0, P0, 34, 745, 75.19
2023/07/13 18:15:33.615, 19, P0, 34, 745, 82.22
2023/07/13 18:15:33.625, 19, P0, 34, 745, 82.22
2023/07/13 18:15:33.631, 19, P0, 34, 745, 87.62
2023/07/13 18:15:33.640, 19, P0, 34, 745, 87.62
2023/07/13 18:15:33.646, 19, P0, 34, 745, 91.32
2023/07/13 18:15:33.656, 19, P0, 34, 745, 91.32
2023/07/13 18:15:33.661, 19, P0, 34, 745, 94.37
2023/07/13 18:15:33.671, 19, P0, 34, 745, 94.37
2023/07/13 18:15:33.677, 19, P0, 34, 745, 96.43
2023/07/13 18:15:33.687, 19, P0, 34, 745, 96.43
2023/07/13 18:15:33.692, 19, P0, 34, 745, 98.22
2023/07/13 18:15:33.702, 19, P0, 34, 745, 98.22
2023/07/13 18:15:33.707, 19, P0, 34, 745, 99.46
2023/07/13 18:15:33.717, 19, P0, 34, 745, 99.46
2023/07/13 18:15:33.723, 19, P0, 34, 745, 100.32
2023/07/13 18:15:33.733, 19, P0, 34, 745, 100.32
2023/07/13 18:15:33.738, 19, P0, 34, 745, 101.08
2023/07/13 18:15:33.748, 19, P0, 34, 745, 101.08
2023/07/13 18:15:33.754, 19, P0, 34, 745, 101.65
2023/07/13 18:15:33.763, 19, P0, 34, 745, 101.65
2023/07/13 18:15:33.769, 19, P0, 34, 745, 102.04
2023/07/13 18:15:33.779, 19, P0, 34, 745, 102.04
2023/07/13 18:15:33.784, 100, P0, 34, 745, 102.23
2023/07/13 18:15:33.794, 100, P0, 34, 745, 102.23
2023/07/13 18:15:33.800, 100, P0, 34, 745, 102.42
2023/07/13 18:15:33.810, 100, P0, 34, 745, 102.42
2023/07/13 18:15:33.815, 100, P0, 34, 745, 102.61
2023/07/13 18:15:33.825, 100, P0, 34, 745, 102.61
2023/07/13 18:15:33.830, 100, P0, 34, 745, 102.61
2023/07/13 18:15:33.840, 100, P0, 34, 745, 102.61
2023/07/13 18:15:33.846, 100, P0, 34, 745, 102.80
2023/07/13 18:15:33.856, 100, P0, 34, 745, 102.80
2023/07/13 18:15:33.861, 100, P0, 34, 745, 102.80
2023/07/13 18:15:33.871, 100, P0, 34, 745, 102.80
2023/07/13 18:15:33.877, 100, P0, 34, 745, 102.80
2023/07/13 18:15:33.886, 100, P0, 34, 745, 102.80
2023/07/13 18:15:33.892, 100, P0, 34, 745, 102.89
2023/07/13 18:15:33.902, 100, P0, 34, 745, 102.89
2023/07/13 18:15:33.907, 100, P0, 34, 745, 102.89
2023/07/13 18:15:33.917, 100, P0, 34, 745, 102.89
2023/07/13 18:15:33.923, 100, P0, 34, 745, 103.08
2023/07/13 18:15:33.932, 100, P0, 34, 745, 103.08
2023/07/13 18:15:33.938, 100, P0, 34, 745, 103.08
2023/07/13 18:15:33.948, 100, P0, 34, 745, 103.08
2023/07/13 18:15:33.953, 100, P0, 34, 745, 103.08
2023/07/13 18:15:33.963, 100, P0, 34, 745, 103.08
2023/07/13 18:15:33.969, 100, P0, 34, 745, 103.08
2023/07/13 18:15:33.979, 100, P0, 34, 745, 103.08
2023/07/13 18:15:33.984, 100, P0, 34, 745, 103.08
