timestamp, utilization.gpu [%], pstate, temperature.gpu, clocks.current.sm [MHz], power.draw [W]
2023/07/20 14:16:35.385, 0, P2, 40, 2520, 51.90
2023/07/20 14:16:35.392, 0, P2, 40, 2520, 51.90
2023/07/20 14:16:35.399, 0, P2, 40, 2520, 51.90
2023/07/20 14:16:35.406, 0, P2, 40, 2520, 51.90
2023/07/20 14:16:35.413, 0, P2, 40, 2520, 51.90
2023/07/20 14:16:35.419, 0, P2, 40, 2520, 51.90
2023/07/20 14:16:35.426, 0, P2, 40, 2520, 51.90
2023/07/20 14:16:35.438, 0, P2, 40, 2520, 51.90
2023/07/20 14:16:35.444, 0, P2, 40, 2520, 52.07
2023/07/20 14:16:35.451, 0, P2, 40, 2520, 52.07
2023/07/20 14:16:35.459, 0, P2, 40, 2520, 52.07
2023/07/20 14:16:35.465, 0, P2, 40, 2520, 52.07
2023/07/20 14:16:35.472, 0, P2, 40, 2520, 52.07
2023/07/20 14:16:35.479, 0, P2, 40, 2520, 52.07
2023/07/20 14:16:35.485, 0, P2, 40, 2520, 52.07
2023/07/20 14:16:35.492, 0, P2, 40, 2520, 52.07
2023/07/20 14:16:35.499, 0, P2, 40, 2520, 52.07
2023/07/20 14:16:35.506, 0, P2, 40, 2520, 52.07
2023/07/20 14:16:35.513, 0, P2, 40, 2520, 52.07
2023/07/20 14:16:35.519, 0, P2, 40, 2520, 52.07
2023/07/20 14:16:35.526, 0, P2, 40, 2520, 52.07
2023/07/20 14:16:35.538, 0, P2, 40, 2520, 52.07
2023/07/20 14:16:35.544, 0, P2, 40, 2520, 51.77
2023/07/20 14:16:35.551, 0, P2, 40, 2520, 51.77
2023/07/20 14:16:35.564, 0, P2, 41, 2520, 51.77
2023/07/20 14:16:35.570, 0, P2, 44, 2520, 51.77
2023/07/20 14:16:35.578, 0, P2, 46, 2520, 51.77
2023/07/20 14:16:35.585, 0, P2, 46, 2520, 51.77
2023/07/20 14:16:35.591, 0, P2, 47, 2520, 51.77
2023/07/20 14:16:35.599, 0, P2, 48, 2520, 51.77
2023/07/20 14:16:35.606, 0, P2, 48, 2520, 51.77
2023/07/20 14:16:35.612, 0, P2, 48, 2520, 51.77
2023/07/20 14:16:35.675, 0, P2, 50, 2520, 257.15
2023/07/20 14:16:35.681, 0, P2, 51, 2520, 257.15
2023/07/20 14:16:35.688, 0, P2, 51, 2520, 257.15
2023/07/20 14:16:35.698, 0, P2, 51, 2520, 257.15
2023/07/20 14:16:35.704, 0, P2, 51, 2520, 257.15
2023/07/20 14:16:35.710, 0, P2, 51, 2520, 257.15
2023/07/20 14:16:35.718, 0, P2, 51, 2520, 257.15
2023/07/20 14:16:35.725, 0, P2, 51, 2520, 257.15
2023/07/20 14:16:35.731, 0, P2, 52, 2520, 257.15
2023/07/20 14:16:35.738, 0, P2, 52, 2520, 257.15
2023/07/20 14:16:35.745, 0, P2, 52, 2520, 312.84
2023/07/20 14:16:35.751, 93, P2, 52, 2685, 312.84
2023/07/20 14:16:35.807, 93, P2, 55, 2670, 312.84
2023/07/20 14:16:35.818, 93, P2, 55, 2670, 312.84
2023/07/20 14:16:35.824, 93, P2, 55, 2670, 312.84
2023/07/20 14:16:35.869, 93, P2, 55, 2670, 380.40
2023/07/20 14:16:35.878, 93, P2, 55, 2670, 380.40
2023/07/20 14:16:35.884, 93, P2, 56, 2670, 380.40
2023/07/20 14:16:35.890, 93, P2, 56, 2670, 380.40
2023/07/20 14:16:35.947, 100, P2, 56, 2670, 391.79
2023/07/20 14:16:35.966, 100, P2, 56, 2670, 391.79
2023/07/20 14:16:35.972, 100, P2, 56, 2655, 391.79
2023/07/20 14:16:35.981, 100, P2, 56, 2655, 391.79
2023/07/20 14:16:35.987, 100, P2, 56, 2655, 391.79
2023/07/20 14:16:36.001, 100, P2, 56, 2655, 391.79
2023/07/20 14:16:36.007, 100, P2, 56, 2655, 391.79
2023/07/20 14:16:36.021, 100, P2, 56, 2655, 391.79
2023/07/20 14:16:36.027, 100, P2, 56, 2655, 391.79
2023/07/20 14:16:36.038, 100, P2, 56, 2655, 391.79
2023/07/20 14:16:36.044, 100, P2, 56, 2655, 388.32
2023/07/20 14:16:36.051, 100, P2, 56, 2655, 388.32
2023/07/20 14:16:36.058, 100, P2, 56, 2655, 388.32
2023/07/20 14:16:36.064, 100, P2, 56, 2655, 388.32
2023/07/20 14:16:36.071, 100, P2, 56, 2655, 388.32
2023/07/20 14:16:36.078, 100, P2, 56, 2655, 388.32
2023/07/20 14:16:36.084, 100, P2, 56, 2655, 388.32
2023/07/20 14:16:36.090, 100, P2, 56, 2655, 388.32
2023/07/20 14:16:36.098, 100, P2, 56, 2655, 388.32
2023/07/20 14:16:36.104, 100, P2, 56, 2655, 388.32
2023/07/20 14:16:36.110, 100, P2, 56, 2655, 388.32
2023/07/20 14:16:36.121, 100, P2, 56, 2655, 388.32
2023/07/20 14:16:36.127, 100, P2, 56, 2655, 388.32
2023/07/20 14:16:36.139, 100, P2, 56, 2655, 388.32
2023/07/20 14:16:36.146, 100, P2, 56, 2655, 385.44
2023/07/20 14:16:36.152, 100, P2, 56, 2655, 385.44
2023/07/20 14:16:36.162, 100, P2, 56, 2655, 385.44
2023/07/20 14:16:36.168, 100, P2, 56, 2655, 385.44
2023/07/20 14:16:36.178, 100, P2, 56, 2655, 385.44
2023/07/20 14:16:36.184, 100, P2, 56, 2655, 385.44
2023/07/20 14:16:36.190, 100, P2, 56, 2655, 385.44
2023/07/20 14:16:36.198, 100, P2, 56, 2655, 385.44
2023/07/20 14:16:36.204, 100, P2, 56, 2655, 385.44
2023/07/20 14:16:36.210, 100, P2, 56, 2655, 385.44
2023/07/20 14:16:36.218, 100, P2, 56, 2655, 385.44
2023/07/20 14:16:36.224, 100, P2, 56, 2655, 385.44
2023/07/20 14:16:36.230, 100, P2, 56, 2655, 385.44
2023/07/20 14:16:36.238, 100, P2, 56, 2655, 385.44
2023/07/20 14:16:36.244, 100, P2, 56, 2655, 384.49
2023/07/20 14:16:36.250, 100, P2, 56, 2655, 384.49
2023/07/20 14:16:36.258, 100, P2, 56, 2655, 384.49
2023/07/20 14:16:36.264, 100, P2, 56, 2655, 384.49
2023/07/20 14:16:36.270, 100, P2, 56, 2655, 384.49
2023/07/20 14:16:36.281, 100, P2, 56, 2655, 384.49
2023/07/20 14:16:36.287, 100, P2, 57, 2655, 384.49
2023/07/20 14:16:36.299, 100, P2, 57, 2655, 384.49
2023/07/20 14:16:36.305, 100, P2, 57, 2655, 384.49
2023/07/20 14:16:36.312, 100, P2, 57, 2655, 384.49
2023/07/20 14:16:36.322, 100, P2, 57, 2655, 384.49
2023/07/20 14:16:36.328, 100, P2, 57, 2655, 384.49
2023/07/20 14:16:36.338, 100, P2, 57, 2655, 384.49
2023/07/20 14:16:36.344, 100, P2, 57, 2655, 386.53
2023/07/20 14:16:36.350, 100, P2, 57, 2655, 386.53
2023/07/20 14:16:36.358, 100, P2, 57, 2655, 386.53
2023/07/20 14:16:36.364, 100, P2, 57, 2655, 386.53
2023/07/20 14:16:36.370, 100, P2, 57, 2655, 386.53
2023/07/20 14:16:36.378, 100, P2, 57, 2655, 386.53
2023/07/20 14:16:36.384, 100, P2, 57, 2655, 386.53
2023/07/20 14:16:36.390, 100, P2, 57, 2655, 386.53
2023/07/20 14:16:36.398, 100, P2, 57, 2655, 386.53
2023/07/20 14:16:36.404, 100, P2, 57, 2655, 386.53
2023/07/20 14:16:36.410, 100, P2, 57, 2655, 386.53
2023/07/20 14:16:36.421, 100, P2, 57, 2655, 386.53
2023/07/20 14:16:36.427, 100, P2, 57, 2655, 386.53
2023/07/20 14:16:36.439, 100, P2, 57, 2655, 386.53
2023/07/20 14:16:36.445, 100, P2, 57, 2655, 385.71
2023/07/20 14:16:36.452, 100, P2, 57, 2655, 385.71
2023/07/20 14:16:36.462, 100, P2, 57, 2655, 385.71
2023/07/20 14:16:36.468, 100, P2, 57, 2655, 385.71
2023/07/20 14:16:36.477, 100, P2, 57, 2655, 385.71
2023/07/20 14:16:36.484, 100, P2, 57, 2655, 385.71
2023/07/20 14:16:36.490, 100, P2, 57, 2655, 385.71
2023/07/20 14:16:36.498, 100, P2, 57, 2655, 385.71
2023/07/20 14:16:36.504, 100, P2, 57, 2655, 385.71
2023/07/20 14:16:36.510, 100, P2, 57, 2655, 385.71
2023/07/20 14:16:36.518, 100, P2, 57, 2655, 385.71
2023/07/20 14:16:36.524, 100, P2, 57, 2655, 385.71
2023/07/20 14:16:36.530, 100, P2, 57, 2655, 385.71
2023/07/20 14:16:36.541, 100, P2, 57, 2655, 385.71
2023/07/20 14:16:36.548, 100, P2, 57, 2655, 385.40
2023/07/20 14:16:36.560, 100, P2, 57, 2655, 385.40
2023/07/20 14:16:36.566, 100, P2, 57, 2655, 385.40
2023/07/20 14:16:36.581, 100, P2, 57, 2655, 385.40
2023/07/20 14:16:36.587, 100, P2, 57, 2655, 385.40
2023/07/20 14:16:36.598, 100, P2, 57, 2655, 385.40
2023/07/20 14:16:36.604, 100, P2, 57, 2655, 385.40
